tagId,tag
586,kick-butt women
587,kidnapping
588,kids
589,kids and family
590,king arthur
591,kubrick
592,kung fu
593,kurosawa
594,lame
595,las vegas
596,latin america
597,lawyer
598,lawyers
599,lesbian
600,life
601,life & death
602,life philosophy
603,light
604,lions
605,literary adaptation
606,literature
607,liv tyler
608,london
609,lone hero
610,loneliness
611,long
612,los angeles
613,love
614,love story
615,love triangles
616,low budget
617,lynch
618,lyrical
619,macabre
620,mad scientist
621,made for tv
622,mafia
623,magic
624,magic realism
625,male nudity
626,man versus machine
627,manipulation
628,marijuana
629,marriage
630,mars
631,martial arts
632,marvel
633,marx brothers
634,masterpiece
635,math
636,mathematics
637,maze
638,medieval
639,meditative
640,melancholic
641,melancholy
642,memory
643,memory loss
644,mental hospital
645,mental illness
646,mentor
647,metaphysics
648,mexico
649,middle east
650,midlife crisis
651,military
652,mindfuck
653,mining
654,minnesota
655,mission from god
656,mistaken identity
657,miyazaki
658,mob
659,mockumentary
660,modern fantasy
661,money
662,monkey
663,monster
664,monsters
665,monty python
666,moody
667,moon
668,moral ambiguity
669,morality
670,mother daughter relationship
671,mother-son relationship
672,motorcycle
673,mountain climbing
674,movie business
675,movielens top pick
676,moving
677,mozart
678,mtv
679,multiple storylines
680,mummy
681,muppets
682,murder
683,murder mystery
684,music
685,music business
686,musical
687,musicians
688,mutants
689,mystery
690,mythology
691,narrated
692,nasa
693,native americans
694,natural disaster
695,nature
696,nazi
697,nazis
698,neil gaiman
699,neo-nazis
700,neo-noir
701,nerds
702,new jersey
703,new orleans
704,new york
705,new york city
706,new zealand
707,ninja
708,no dialogue
709,no plot
710,nocturnal
711,noir
712,noir thriller
713,non-hollywood ending
714,non-linear
715,nonlinear
716,nostalgia
717,nostalgic
718,not as good as the first
719,not funny
720,notable nudity
721,notable soundtrack
722,nuclear
723,nuclear bomb
724,nuclear war
725,nudity
726,nudity (full frontal - brief)
727,nudity (full frontal - notable)
728,nudity (full frontal)
729,nudity (rear)
730,nudity (topless - brief)
731,nudity (topless - notable)
732,nudity (topless)
733,obsession
734,ocean
735,off-beat comedy
736,office
737,oil
738,olympics
739,ominous
740,opera
741,organized crime
742,original
743,original plot
744,orphans
745,oscar
746,oscar (best actor)
747,oscar (best actress)
748,oscar (best animated feature)
749,oscar (best cinematography)
750,oscar (best directing)
751,oscar (best editing)
752,oscar (best effects - visual effects)
753,oscar (best foreign language film)
754,oscar (best music - original score)
755,oscar (best music - original song)
756,oscar (best picture)
757,oscar (best sound)
758,oscar (best supporting actor)
759,oscar (best supporting actress)
760,oscar (best writing - screenplay written directly for the screen)
761,oscar winner
762,over the top
763,overrated
764,palestine
765,parallel universe
766,paranoia
767,paranoid
768,parenthood
769,paris
770,parody
771,passionate
772,penguins
773,perfect
774,period piece
775,peter pan
776,pg
777,pg-13
778,philip k. dick
779,philosophical
780,philosophy
781,photographer
782,photography
783,pigs
784,pirates
785,pixar
786,pixar animation
787,plot
788,plot holes
789,plot twist
790,poetry
791,poignant
792,pointless
793,poker
794,poland
795,police
796,police corruption
797,police investigation
798,political
799,political corruption
800,politics
801,pornography
802,post apocalyptic
803,post-apocalyptic
804,potential oscar nom
805,poverty
806,powerful ending
807,predictable
808,pregnancy
809,prejudice
810,prequel
811,president
812,pretentious
813,prison
814,prison escape
815,private detective
816,product placement
817,prohibition
818,propaganda
819,prostitution
820,psychedelic
821,psychiatrist
822,psychiatry
823,psychological
824,psychology
825,pulp
826,punk
827,puppets
828,queer
829,quirky
830,quotable
831,rabbits
832,race
833,race issues
834,racing
835,racism
836,radio
837,rags to riches
838,rape
839,rats
840,realistic
841,realistic action
842,reality tv
843,rebellion
844,redemption
845,reflective
846,relationships
847,religion
848,remade
849,remake
850,revenge
851,revolution
852,ridiculous
853,rio de janeiro
854,road movie
855,road trip
856,roald dahl
857,robbery
858,robert downey jr
859,robert ludlum
860,robot
861,robots
862,rock and roll
863,romance
864,romantic
865,romantic comedy
866,rome
867,runaway
868,russia
869,russian
870,sacrifice
871,sad
872,sad but good
873,samurai
874,san francisco
875,sappy
876,sarcasm
877,satire
878,satirical
879,saturday night live
880,saturn award (best science fiction film)
881,saturn award (best special effects)
882,scary
883,scenic
884,schizophrenia
885,school
886,sci fi
887,sci-fi
888,science
889,science fiction
890,scifi
891,scifi cult
892,scotland
893,screwball
894,screwball comedy
895,script
896,secret service
897,secrets
898,segregation
899,self discovery
900,sentimental
901,sequel
902,sequels
903,serial killer
904,series
905,sex
906,sex comedy
907,sexual
908,sexual abuse
909,sexuality
910,sexualized violence
911,sexy
912,shakespeare
913,shallow
914,shark
915,shopping
916,short
917,short-term memory loss
918,silent
919,silly
920,silly fun
921,simple
922,single father
923,sisters
924,skinhead
925,slackers
926,slapstick
927,slasher
928,slavery
929,slow
930,slow paced
931,small town
932,snakes
933,so bad it's funny
934,so bad it's good
935,soccer
936,social commentary
937,solitude
938,sophia coppola
939,south africa
940,south america
941,southern theme
942,space
943,space opera
944,space program
945,space travel
946,spaghetti western
947,spain
948,spanish
949,spanish civil war
950,special
951,special effects
952,spelling bee
953,spiders
954,spielberg
955,spies
956,splatter
957,spock
958,spoof
959,sports
960,spy
961,spying
962,stage magic
963,stand-up comedy
964,star trek
965,star wars
966,steampunk
967,stereotypes
968,stoner movie
969,stop motion
970,stop-motion
971,story
972,storytelling
973,stranded
974,strange
975,strippers
976,studio ghibli
977,stunning
978,stupid
979,stupid as hell
980,stupidity
981,stylish
982,stylized
983,submarine
984,suburbia
985,suicide
986,suicide attempt
987,super hero
988,super-hero
989,superhero
990,superheroes
991,supernatural
992,suprisingly clever
993,surfing
994,surprise ending
995,surreal
996,surrealism
997,surveillance
998,survival
999,suspense
1000,suspenseful
1001,swashbuckler
1002,swedish
1003,sweet
1004,switching places
1005,sword fight
1006,sword fighting
1007,talking animals
1008,talky
1009,tarantino
1010,teacher
1011,tear jerker
1012,technology
1013,teen
1014,teen movie
1015,teenager
1016,teenagers
1017,teens
1018,teleportation
1019,television
1020,tense
1021,terminal illness
1022,terrorism
1023,texas
1024,thought-provoking
1025,thriller
1026,time
1027,time loop
1028,time travel
1029,tokyo
1030,tolkien
1031,tom clancy
1032,too long
1033,too short
1034,torture
1035,touching
1036,toys
1037,tragedy
1038,train
1039,trains
1040,transformation
1041,transgender
1042,travel
1043,treasure
1044,treasure hunt
1045,tricky
1046,trilogy
1047,true story
1048,truman capote
1049,twist
1050,twist ending
1051,twists & turns
1052,undercover cop
1053,underdog
1054,underrated
1055,understated
1056,underwater
1057,unfunny
1058,unintentionally funny
1059,unique
1060,united nations
1061,unlikeable characters
1062,unlikely friendships
1063,unrealistic
1064,unusual plot structure
1065,us history
1066,utopia
1067,vampire
1068,vampire human love
1069,vampires
1070,vengeance
1071,very funny
1072,very good
1073,very interesting
1074,video game
1075,video game adaptation
1076,video games
1077,videogame
1078,vienna
1079,vietnam
1080,vietnam war
1081,view askew
1082,vigilante
1083,vigilantism
1084,violence
1085,violent
1086,virginity
1087,virtual reality
1088,virus
1089,visceral
1090,visual
1091,visually appealing
1092,visually stunning
1093,visuals
1094,voodoo
1095,voyeurism
1096,war
1097,war movie
1098,wartime
1099,waste of time
1100,watch the credits
1101,weapons
1102,wedding
1103,weed
1104,weird
1105,werewolf
1106,werewolves
1107,western
1108,whimsical
1109,wilderness
1110,wine
1111,wistful
1112,witch
1113,witches
1114,witty
1115,wizards
1116,women
1117,working class
1118,workplace
1119,world politics
1120,world war i
1121,world war ii
1122,writer's life
1123,writers
1124,writing
1125,wuxia
1126,wwii
1127,zombie
1128,zombies
